Metric,GNN,FFN,Difference
test_loss,0.8441908359527588,0.8382228016853333,-0.005968034267425537
mse,0.8443185091018677,0.838184118270874,-0.006134390830993652
mae,0.7302069067955017,0.7270618677139282,-0.0031450390815734863
Average R²,0.1663510799407959,0.172626394033432,0.006275314092636097
