Metric,GNN,FFN,Difference (GNN-FFN)
Test Loss,0.8587828874588013,0.8562973775863647,0.0024855098724365643
MSE,0.8579887747764587,0.8562973737716675,0.0016914010047912598
MAE,0.735653817653656,0.735504686832428,0.00014913082122802734
R²,0.17040322422981263,0.17095991969108582,-0.0005566954612731823
Training Time (s),276.6,10.694149017333984,265.90585098266604
